<Phenotype>
taxa	data	data	data
NC330	70.0	70.0	42.79525
NC332	76.5	71.0	34.923
NC334	80.5	70.5	33.938
NC336	50.5	75.5	34.172
NC338	71.5	70.0	33.97
NC340	60.5	65.5	38.974
NC342	68.0	64.5	35.18633
NC344	63.5	70.5	38.60725
NC346	62.0	68.0	36.276
NC348	73.0	67.0	31.202
NC350	49.5	69.5	32.829
NC352	53.5	72.0	35.537
NC354	67.0	71.5	32.8105
NC356	56.0	66.5	34.34075
NC358	41.0	63.0	35.785
NC360	56.0	71.5	37.205
NC362	51.5	63.0	38.849
NC364	48.5	64.5	38.6825
NC366	58.0	72.5	35.826
NC368	64.5	69.0	42.06567
NC370	70.63	72.5	42.082
NC372	69.0	68.0	42.281
ND246	32.5	54.5	28.935
OH40B	51.5	67.5	34.962
OH43	45.0	61.0	37.77
OH43E	31.5	61.0	37.124
OH603	48.5	65.5	NaN
OH7B	87.0	72.5	37.535
OS420	66.0	60.5	39.417
P39	43.5	64.0	35.394
PA762	50.5	67.0	37.828
PA875	67.0	65.5	40.87967
PA880	69.5	64.5	NaN
PA91	63.0	68.5	36.12175
Q6199	NaN	85.0	NaN
R109B	45.0	65.0	NaN
R168	57.92	64.5	28.88775
R177	31.0	61.0	38.019
R229	76.0	67.0	43.504
R4	48.0	67.0	37.284
SA24	60.5	65.0	29.11575
SC213R	67.0	76.0	34.337
SC357	55.5	74.5	34.858
SC55	128.0	75.0	41.88
SD40	46.5	60.0	38.5555
SD44	39.0	61.5	36.73775
SG1533	82.5	62.5	33.8
SG18	88.5	63.5	29.78
T232	73.5	70.0	35.651
T234	63.08	68.5	39.432
T8	87.75	70.5	35.29
TX303	102.0	71.0	41.5
TX601	87.63	78.5	42.91188
TZI10	81.0	78.0	33.84983
TZI11	75.5	71.5	32.988
TZI16	76.75	74.0	41.737
TZI18	79.38	70.0	39.82575
TZI25	82.0	72.5	38.817
TZI8	89.5	72.5	41.56075
TZI9	79.0	72.0	40.403
U267Y	53.5	75.5	35.491
VA102	47.5	65.0	NaN
VA14	56.0	66.5	36.955
VA17	49.0	63.5	34.376
VA22	62.5	66.0	36.168
VA26	41.0	61.0	37.617
VA35	52.0	63.0	40.0005
VA59	36.5	60.5	37.58
VA85	66.0	62.5	37.304
VA99	56.0	67.5	40.421
VAW6	38.0	62.5	35.685
W117HT	31.0	66.0	23.72333
W153R	27.5	66.0	NaN
W182B	46.0	62.5	31.492
W22	44.0	63.5	36.041
W401	35.5	58.5	35.40125
W64A	59.5	62.5	35.982
WD	48.5	62.5	30.479
WF9	52.0	64.5	36.61475
YU796NS	56.5	64.0	40.755
